epoch,train_loss,train_acc,val_loss,val_acc
1,0.348525,0.865556,0.284376,0.891500
2,0.259086,0.902378,0.249027,0.904700
3,0.236864,0.909189,0.234614,0.910400
4,0.224280,0.913356,0.224710,0.913300
5,0.216219,0.916467,0.218325,0.915400
6,0.209208,0.918978,0.213405,0.917000
7,0.204518,0.920433,0.208315,0.918900
8,0.201108,0.921822,0.205743,0.919500
9,0.197617,0.922878,0.202816,0.920300
10,0.194904,0.924589,0.200551,0.921100
11,0.193394,0.924567,0.197142,0.923900
12,0.191112,0.925289,0.196371,0.924100
13,0.189070,0.926111,0.196404,0.922100
14,0.187177,0.927278,0.192065,0.925500
15,0.185196,0.927800,0.190516,0.925900
16,0.184431,0.927533,0.192831,0.923300
17,0.182932,0.928167,0.191032,0.924400
18,0.182201,0.928933,0.187293,0.927100
19,0.180469,0.930289,0.186070,0.927100
20,0.179697,0.929867,0.186643,0.926000
21,0.178877,0.930133,0.187253,0.926200
22,0.178020,0.930233,0.185487,0.926400
23,0.176921,0.930444,0.183359,0.930300
24,0.176379,0.931167,0.184021,0.928100
25,0.175363,0.931278,0.181982,0.929300
26,0.175118,0.931978,0.181466,0.928400
27,0.174224,0.931778,0.180918,0.930100
28,0.173788,0.931922,0.180579,0.930000
29,0.173091,0.932656,0.180656,0.929200
30,0.173071,0.932022,0.179957,0.930100
31,0.172586,0.932922,0.180138,0.929800
32,0.171958,0.932622,0.182339,0.926500
33,0.172347,0.932256,0.178451,0.930500
34,0.170411,0.933456,0.181154,0.927600
35,0.170460,0.933656,0.178438,0.930200
36,0.169965,0.933400,0.177333,0.930900
37,0.169680,0.933389,0.177007,0.930700
38,0.168703,0.934311,0.177826,0.930300
39,0.169203,0.933378,0.177512,0.931200
40,0.169298,0.933378,0.176563,0.930400
41,0.167898,0.934178,0.176281,0.931200
42,0.167868,0.934033,0.177041,0.930700
43,0.167424,0.934222,0.175390,0.931500
44,0.167004,0.934500,0.175433,0.931800
45,0.167298,0.933567,0.175046,0.931700
46,0.166676,0.934389,0.174844,0.931800
47,0.165730,0.935278,0.174460,0.931100
48,0.165751,0.935189,0.174828,0.931600
49,0.165432,0.935411,0.174040,0.931700
50,0.165437,0.934867,0.174125,0.932400
